family,techniques,cluster
Conti,T1566_Phishing,0
LockBit,T1566_Phishing,0
Conti,,1
REvil,,1
WannaCry,T1566_Phishing,0
DarkSide,T1566_Phishing,0
Ryuk,,1
DarkSide,T1566_Phishing,0
Hive,T1566_Phishing,0
DarkSide,T1566_Phishing,0
DarkSide,T1566_Phishing,0
LockBit,T1566_Phishing,0
Ryuk,,1
WannaCry,T1190_Exploit Public-Facing Application T1218_File and Directory Discovery,2
Conti,T1566_Phishing,0
LockBit,,1
WannaCry,,1
LockBit,T1566_Phishing,0
Maze,T1566_Phishing,0
Ryuk,,1
WannaCry,T1566_Phishing,0
REvil,T1566_Phishing,0
Ryuk,T1566_Phishing,0
LockBit,T1566_Phishing,0
REvil,T1566_Phishing,0
Hive,T1566_Phishing,0
WannaCry,T1566_Phishing,0
REvil,,1
Maze,,1
LockBit,T1566_Phishing,0
WannaCry,T1566_Phishing T1059_Command and Control,0
LockBit,T1566_Phishing,0
REvil,,1
Maze,,1
Hive,T1566_Phishing,0
Conti,,1
Ryuk,,1
WannaCry,T1204_User Execution: Malware Delivery through Phishing,1
DarkSide,,1
Conti,,1
DarkSide,T1566_Phishing,0
Maze,T1566_Phishing,0
Conti,T1566_Phishing,0
DarkSide,T1566_Phishing,0
Ryuk,T1566_Phishing,0
Ryuk,T1566_Phishing,0
Maze,,1
Ryuk,T1566_Phishing,0
Ryuk,T1566_Phishing,0
DarkSide,,1
Maze,,1
Hive,T1566_Phishing,0
Conti,T1566_Phishing,0
WannaCry,T1566_Phishing,0
DarkSide,T1566_Phishing,0
Ryuk,T1566_Phishing,0
